medicine_id,medicine_name,generic_name,manufacturer,category,dosage_form,strength,unit_price,stock_quantity,reorder_level,expiry_date,status
MED00001,Azithromycin,Diclofenac,Abbott,Painkiller,Drops,500 mg,682.25,107,35,2028-11-04,Available
MED00002,Ondansetron,Levocetirizine,Pfizer,Antidiabetic,Syrup,500 mg,1067.89,840,68,2027-12-07,Available
MED00003,Aspirin,Pantoprazole,Cipla,Vitamin,Syrup,5 ml,374.4,518,22,2027-02-10,Available
MED00004,Montelukast,Atorvastatin,Abbott,Respiratory,Injection,250 mg,1131.51,200,49,2028-06-26,Available
MED00005,Levocetirizine,Pantoprazole,Dr. Reddy's,Respiratory,Injection,650 mg,885.02,661,55,2026-07-11,Available
MED00006,Rabeprazole,Pantoprazole,GSK,Painkiller,Drops,5 ml,313.77,950,93,2028-01-11,Available
MED00007,Insulin,Ondansetron,Mankind,Cardiology,Injection,650 mg,840.34,336,56,2027-11-05,Available
MED00008,Aspirin,Salbutamol,Mankind,Antibiotic,Injection,5 ml,1415.51,366,67,2028-02-01,Available
MED00009,Ranitidine,Amoxicillin,Abbott,Antibiotic,Tablet,5 ml,532.27,807,30,2028-09-17,Available
MED00010,ORS,Insulin,Dr. Reddy's,Painkiller,Tablet,250 mg,386.16,459,88,2027-03-23,Available
MED00011,Amlodipine,Cefixime,Alkem,Antibiotic,Drops,100 mg,414.51,775,100,2028-09-24,Available
MED00012,Cefixime,Levocetirizine,Lupin,Antacid,Syrup,500 mg,345.33,938,29,2029-06-10,Available
MED00013,Pantoprazole,Insulin,Alkem,Antibiotic,Syrup,50 mg,463.09,343,24,2027-08-14,Available
MED00014,Montelukast,Domperidone,Cipla,Antacid,Drops,100 mg,953.28,951,31,2026-09-11,Available
MED00015,Omeprazole,Dolo 650,Torrent,Respiratory,Syrup,250 mg,873.09,806,30,2027-06-27,Available
MED00016,Azithromycin,Domperidone,Dr. Reddy's,Cardiology,Drops,10 ml,1116.51,540,53,2029-02-24,Available
MED00017,Calcium,Levocetirizine,Pfizer,Vitamin,Drops,100 mg,809.6,993,64,2026-12-30,Available
MED00018,Pantoprazole,Levocetirizine,Alkem,Vitamin,Injection,250 mg,650.46,254,93,2028-03-29,Available
MED00019,Montelukast,Dolo 650,Alkem,Antacid,Drops,650 mg,237.31,298,70,2028-12-23,Available
MED00020,Ondansetron,Ranitidine,Sun Pharma,Antidiabetic,Drops,250 mg,92.23,821,99,2029-04-17,Available
MED00021,Aspirin,ORS,Cipla,Vitamin,Capsule,100 mg,327.31,295,22,2028-10-17,Available
MED00022,Metformin,Crocin,Alkem,Antidiabetic,Drops,250 mg,1162.5,884,29,2026-07-25,Available
MED00023,Ibuprofen,Vitamin D3,Sun Pharma,General Medicine,Syrup,10 ml,853.43,1000,76,2027-04-07,Available
MED00024,Iron Tablets,Ibuprofen,Mankind,Antidiabetic,Syrup,50 mg,1255.01,344,70,2027-01-27,Available
MED00025,Vitamin D3,Ranitidine,Abbott,Vitamin,Syrup,5 ml,554.73,687,34,2028-10-08,Available
MED00026,Amlodipine,Telmisartan,Abbott,General Medicine,Capsule,50 mg,706.24,923,24,2027-11-24,Available
MED00027,Paracetamol,Ondansetron,Mankind,Antibiotic,Drops,10 ml,75.11,585,79,2029-05-09,Available
MED00028,ORS,Calcium,Torrent,Cardiology,Injection,10 ml,523.07,689,35,2027-03-27,Available
MED00029,Montelukast,Metformin,Lupin,Cardiology,Syrup,100 mg,1241.84,500,22,2026-10-14,Available
MED00030,Domperidone,Paracetamol,Mankind,Antacid,Capsule,10 ml,727.83,731,29,2027-09-14,Available
MED00031,Iron Tablets,Azithromycin,Mankind,Antibiotic,Drops,650 mg,1280.56,96,99,2027-05-15,Available
MED00032,Azithromycin,Omeprazole,Pfizer,Vitamin,Syrup,50 mg,393.8,576,26,2027-05-13,Available
MED00033,Vitamin D3,Ceftriaxone,Dr. Reddy's,General Medicine,Drops,50 mg,1499.88,315,58,2026-09-20,Available
MED00034,Domperidone,Cetirizine,Sun Pharma,Cardiology,Tablet,500 mg,117.22,441,77,2028-07-24,Available
MED00035,Montelukast,Vitamin D3,Lupin,Cardiology,Injection,5 ml,79.78,705,68,2027-03-15,Available
MED00036,Vitamin D3,Amlodipine,Alkem,General Medicine,Injection,650 mg,293.48,382,79,2027-09-23,Available
MED00037,Iron Tablets,Rabeprazole,Torrent,Vitamin,Drops,50 mg,475.64,377,70,2027-09-17,Available
MED00038,Paracetamol,Omeprazole,Cipla,Respiratory,Capsule,500 mg,302.23,959,100,2027-01-01,Available
MED00039,Ondansetron,Crocin,Torrent,Antidiabetic,Drops,250 mg,1108.64,503,87,2027-07-17,Available
MED00040,Azithromycin,Metformin,Cipla,General Medicine,Syrup,500 mg,346.28,692,35,2026-08-12,Available
MED00041,Iron Tablets,ORS,Mankind,Painkiller,Syrup,10 ml,1465.34,51,88,2027-10-23,Available
MED00042,Rabeprazole,Insulin,Torrent,Antacid,Drops,50 mg,1411.24,742,25,2026-08-06,Available
MED00043,Telmisartan,Amlodipine,GSK,Antidiabetic,Injection,100 mg,1428.74,435,77,2026-09-28,Available
MED00044,Cetirizine,Iron Tablets,Sun Pharma,Antidiabetic,Drops,250 mg,1024.28,957,54,2028-10-01,Available
MED00045,Cefixime,Cetirizine,Torrent,Cardiology,Tablet,650 mg,12.77,247,75,2027-03-05,Available
MED00046,Azithromycin,Montelukast,Torrent,General Medicine,Syrup,500 mg,1406.25,595,23,2026-08-13,Available
MED00047,Ceftriaxone,Amoxicillin,Sun Pharma,Respiratory,Tablet,250 mg,103.78,883,46,2027-12-30,Available
MED00048,Azithromycin,Azithromycin,Torrent,General Medicine,Drops,500 mg,1400.11,313,60,2027-10-10,Available
MED00049,Ranitidine,Metformin,GSK,Respiratory,Drops,250 mg,303.17,122,71,2027-10-20,Available
MED00050,Domperidone,Azithromycin,Mankind,Antacid,Drops,5 ml,256.39,397,96,2027-08-31,Available
MED00051,Crocin,Calcium,Abbott,Antidiabetic,Tablet,500 mg,686.21,796,29,2026-10-24,Available
MED00052,Azithromycin,Atorvastatin,Cipla,Antidiabetic,Capsule,250 mg,1194.97,941,100,2027-03-09,Available
MED00053,Ranitidine,Losartan,Sun Pharma,Painkiller,Capsule,100 mg,252.33,736,96,2028-07-15,Available
MED00054,Amlodipine,Vitamin D3,Alkem,Antidiabetic,Capsule,500 mg,1346.27,987,54,2027-02-22,Available
MED00055,Aspirin,Metformin,Dr. Reddy's,Vitamin,Injection,500 mg,116.72,128,81,2028-05-02,Available
MED00056,Iron Tablets,Omeprazole,Torrent,Cardiology,Tablet,100 mg,820.96,515,99,2027-12-24,Available
MED00057,Amlodipine,Losartan,GSK,Antidiabetic,Syrup,50 mg,1016.05,796,37,2028-01-30,Available
MED00058,Domperidone,Dolo 650,Lupin,Respiratory,Injection,500 mg,63.21,97,97,2026-09-24,Available
MED00059,Montelukast,Calcium,Mankind,Antacid,Drops,100 mg,669.52,812,60,2026-08-27,Available
MED00060,Telmisartan,Amlodipine,Lupin,Painkiller,Syrup,5 ml,102.82,269,71,2027-05-17,Available
MED00061,Iron Tablets,Aspirin,Mankind,Antibiotic,Tablet,250 mg,978.5,639,62,2028-04-24,Available
MED00062,Montelukast,Metformin,Abbott,General Medicine,Capsule,250 mg,969.17,898,84,2029-01-27,Available
MED00063,Ondansetron,Amoxicillin,Mankind,Antidiabetic,Tablet,500 mg,311.46,642,46,2027-08-06,Available
MED00064,Ranitidine,Vitamin D3,Cipla,Antidiabetic,Capsule,50 mg,493.71,164,93,2029-06-01,Available
MED00065,Diclofenac,Cefixime,Abbott,Antacid,Tablet,250 mg,1016.88,639,77,2026-12-31,Available
MED00066,Levocetirizine,Calcium,GSK,Antacid,Syrup,50 mg,1336.6,587,55,2028-09-06,Available
MED00067,Iron Tablets,Levocetirizine,GSK,Antibiotic,Syrup,5 ml,704.01,874,28,2027-02-01,Available
MED00068,Insulin,Iron Tablets,Torrent,Respiratory,Tablet,500 mg,323.85,468,96,2028-10-31,Available
MED00069,Ibuprofen,Insulin,Torrent,Respiratory,Drops,500 mg,1138.46,272,29,2029-05-29,Available
MED00070,Ibuprofen,Losartan,Sun Pharma,Antacid,Capsule,10 ml,271.99,649,50,2026-09-08,Available
MED00071,Ondansetron,Pantoprazole,Pfizer,Cardiology,Drops,650 mg,667.13,98,29,2027-09-13,Available
MED00072,Dolo 650,Iron Tablets,Mankind,Antibiotic,Injection,10 ml,1372.59,122,62,2026-09-12,Available
MED00073,Cetirizine,Cefixime,Torrent,Respiratory,Injection,650 mg,44.49,892,31,2028-01-19,Available
MED00074,Calcium,Calcium,Cipla,Respiratory,Drops,650 mg,117.34,175,79,2028-03-31,Available
MED00075,Pantoprazole,Insulin,Lupin,Painkiller,Syrup,250 mg,120.0,844,69,2028-09-23,Available
MED00076,Insulin,Salbutamol,Mankind,Vitamin,Drops,50 mg,754.22,284,66,2027-11-01,Available
MED00077,Cefixime,Salbutamol,Sun Pharma,Antidiabetic,Tablet,500 mg,665.94,76,24,2027-02-13,Available
MED00078,Salbutamol,Amlodipine,Abbott,Antidiabetic,Injection,500 mg,1419.17,610,79,2026-07-29,Available
MED00079,Paracetamol,Azithromycin,Lupin,Painkiller,Capsule,250 mg,883.45,580,100,2026-12-07,Available
MED00080,Paracetamol,Crocin,GSK,Vitamin,Tablet,10 ml,1275.13,855,63,2029-04-21,Available
MED00081,Pantoprazole,Telmisartan,Sun Pharma,Vitamin,Syrup,250 mg,576.7,270,85,2027-12-19,Available
MED00082,Amoxicillin,Insulin,Pfizer,General Medicine,Tablet,650 mg,1104.64,498,58,2027-07-25,Available
MED00083,Azithromycin,Metformin,Mankind,Vitamin,Injection,10 ml,640.03,470,66,2028-01-20,Available
MED00084,Rabeprazole,Metformin,Mankind,Respiratory,Drops,50 mg,629.04,646,48,2027-09-02,Available
MED00085,Aspirin,Diclofenac,Torrent,Painkiller,Syrup,5 ml,898.11,282,77,2028-05-30,Available
MED00086,Vitamin D3,Omeprazole,Pfizer,General Medicine,Capsule,5 ml,922.07,660,85,2027-11-29,Available
MED00087,Amoxicillin,Cefixime,Sun Pharma,General Medicine,Tablet,650 mg,718.21,609,23,2029-01-26,Available
MED00088,Ibuprofen,Losartan,Abbott,Antibiotic,Syrup,50 mg,24.04,910,100,2028-08-01,Available
MED00089,Paracetamol,Ondansetron,Alkem,Antidiabetic,Tablet,5 ml,1367.72,971,91,2028-12-08,Available
MED00090,Omeprazole,Diclofenac,Alkem,General Medicine,Capsule,50 mg,1166.44,987,23,2029-05-26,Available
MED00091,Ondansetron,Omeprazole,Cipla,Antacid,Injection,100 mg,899.52,683,21,2029-02-08,Available
MED00092,Vitamin D3,Telmisartan,Pfizer,Cardiology,Injection,650 mg,348.87,712,32,2028-05-26,Available
MED00093,Paracetamol,Iron Tablets,Dr. Reddy's,Antacid,Injection,650 mg,1354.29,392,83,2027-09-20,Available
MED00094,Amoxicillin,Dolo 650,Sun Pharma,Painkiller,Tablet,500 mg,715.88,353,78,2029-02-06,Available
MED00095,Losartan,Rabeprazole,Cipla,Antibiotic,Injection,5 ml,889.27,898,48,2029-04-19,Available
MED00096,Salbutamol,Vitamin D3,Cipla,Antacid,Capsule,650 mg,190.08,498,51,2027-09-13,Available
MED00097,Ceftriaxone,Rabeprazole,Lupin,Respiratory,Injection,50 mg,1322.58,307,88,2027-03-26,Available
MED00098,Amoxicillin,Montelukast,Abbott,Antidiabetic,Injection,50 mg,530.84,306,53,2027-06-28,Available
MED00099,Losartan,Azithromycin,Dr. Reddy's,Painkiller,Injection,250 mg,1309.92,391,81,2029-02-25,Available
MED00100,Omeprazole,ORS,Abbott,Respiratory,Syrup,50 mg,1431.97,688,38,2029-06-15,Available
MED00101,Omeprazole,Levocetirizine,Dr. Reddy's,Antacid,Capsule,10 ml,16.39,838,68,2026-10-07,Available
MED00102,Domperidone,ORS,Sun Pharma,Cardiology,Drops,5 ml,1050.91,317,87,2028-06-24,Available
MED00103,Calcium,Amoxicillin,Dr. Reddy's,Painkiller,Tablet,100 mg,671.99,726,78,2028-10-26,Available
MED00104,Calcium,Salbutamol,Lupin,Cardiology,Capsule,10 ml,674.4,209,71,2027-10-06,Available
MED00105,Ondansetron,Pantoprazole,Dr. Reddy's,Respiratory,Syrup,10 ml,47.01,285,52,2028-08-04,Available
MED00106,Ranitidine,Crocin,Dr. Reddy's,Cardiology,Capsule,5 ml,477.0,792,80,2027-01-04,Available
MED00107,Ondansetron,Crocin,Dr. Reddy's,Antibiotic,Syrup,10 ml,1426.9,379,65,2028-05-03,Available
MED00108,Insulin,Paracetamol,Cipla,Antidiabetic,Capsule,250 mg,343.27,788,99,2026-07-27,Available
MED00109,Telmisartan,Metformin,Abbott,Cardiology,Syrup,50 mg,276.01,959,33,2028-11-04,Available
MED00110,Vitamin D3,Montelukast,Alkem,Antibiotic,Drops,100 mg,1257.46,774,45,2028-08-05,Available
MED00111,Losartan,Amoxicillin,Torrent,General Medicine,Injection,500 mg,532.59,435,22,2029-04-15,Available
MED00112,Omeprazole,ORS,Torrent,General Medicine,Syrup,5 ml,860.35,152,81,2029-04-11,Available
MED00113,Amlodipine,Salbutamol,GSK,General Medicine,Tablet,250 mg,810.79,945,73,2026-11-07,Available
MED00114,Insulin,Montelukast,GSK,Vitamin,Syrup,250 mg,416.2,439,46,2026-10-22,Available
MED00115,Diclofenac,Atorvastatin,Torrent,Antidiabetic,Injection,100 mg,287.96,632,39,2027-01-16,Available
MED00116,Omeprazole,Iron Tablets,Alkem,General Medicine,Tablet,250 mg,1244.52,150,53,2026-12-05,Available
MED00117,Omeprazole,Ondansetron,Alkem,Antidiabetic,Capsule,50 mg,574.73,572,43,2028-09-27,Available
MED00118,Vitamin D3,Atorvastatin,Torrent,Respiratory,Tablet,500 mg,1483.33,521,65,2029-06-01,Available
MED00119,Crocin,Telmisartan,GSK,Antidiabetic,Capsule,50 mg,520.78,763,51,2029-03-30,Available
MED00120,Amlodipine,Montelukast,Abbott,General Medicine,Tablet,250 mg,933.79,73,60,2027-02-14,Available
MED00121,Calcium,Ceftriaxone,Sun Pharma,Cardiology,Injection,250 mg,426.69,200,57,2029-04-17,Available
MED00122,Amoxicillin,Salbutamol,Cipla,Antibiotic,Injection,650 mg,1239.11,192,20,2027-07-20,Available
MED00123,Dolo 650,Cefixime,Torrent,Antibiotic,Drops,500 mg,1337.84,608,75,2028-03-17,Available
MED00124,Ceftriaxone,Amoxicillin,Sun Pharma,Cardiology,Tablet,650 mg,814.74,86,89,2029-03-24,Available
MED00125,Dolo 650,Telmisartan,Abbott,Respiratory,Tablet,100 mg,720.96,470,46,2026-07-03,Available
MED00126,Diclofenac,Crocin,GSK,Antacid,Injection,500 mg,1203.26,629,41,2028-02-25,Available
MED00127,Metformin,Salbutamol,Cipla,Antidiabetic,Tablet,250 mg,1222.15,553,96,2029-01-03,Available
MED00128,Pantoprazole,Azithromycin,Sun Pharma,Respiratory,Injection,100 mg,439.22,624,20,2028-04-25,Available
MED00129,Calcium,Ibuprofen,GSK,Antidiabetic,Syrup,50 mg,285.83,980,94,2028-11-18,Available
MED00130,Atorvastatin,Pantoprazole,Sun Pharma,Antibiotic,Capsule,5 ml,1062.12,357,24,2028-07-11,Available
MED00131,Metformin,Montelukast,Lupin,General Medicine,Tablet,500 mg,1017.13,307,81,2027-03-29,Available
MED00132,Losartan,Diclofenac,Abbott,Cardiology,Injection,500 mg,16.51,513,80,2026-09-01,Available
MED00133,Diclofenac,Vitamin D3,Alkem,Antidiabetic,Injection,100 mg,412.11,977,55,2027-10-16,Available
MED00134,Telmisartan,Salbutamol,Sun Pharma,Antacid,Tablet,5 ml,1372.09,770,39,2026-08-11,Available
MED00135,Ranitidine,Losartan,Pfizer,Antidiabetic,Injection,250 mg,1425.95,740,30,2027-04-09,Available
MED00136,Cetirizine,Domperidone,Dr. Reddy's,Antacid,Injection,50 mg,875.27,767,63,2029-05-06,Available
MED00137,Levocetirizine,Diclofenac,Pfizer,Antibiotic,Injection,10 ml,1013.88,777,75,2027-12-11,Available
MED00138,Vitamin D3,Insulin,Dr. Reddy's,Respiratory,Capsule,650 mg,1409.36,353,86,2028-01-01,Available
MED00139,Rabeprazole,Amoxicillin,Pfizer,Antidiabetic,Injection,100 mg,383.93,968,37,2028-04-04,Available
MED00140,Levocetirizine,Ibuprofen,Lupin,Antibiotic,Syrup,10 ml,1235.97,993,48,2029-01-22,Available
MED00141,Ibuprofen,Ibuprofen,Cipla,Vitamin,Tablet,250 mg,727.13,873,56,2026-07-07,Available
MED00142,Ranitidine,Cetirizine,GSK,Antidiabetic,Capsule,100 mg,1063.26,494,58,2028-01-25,Available
MED00143,Amoxicillin,Amlodipine,Lupin,Antidiabetic,Syrup,500 mg,1164.04,139,98,2028-10-27,Available
MED00144,Calcium,Losartan,Cipla,General Medicine,Syrup,250 mg,114.63,887,71,2027-11-22,Available
MED00145,Paracetamol,Ceftriaxone,Mankind,Antacid,Syrup,500 mg,814.87,308,88,2027-11-01,Available
MED00146,Telmisartan,Vitamin D3,GSK,Respiratory,Syrup,650 mg,1214.2,591,75,2027-06-12,Available
MED00147,Cetirizine,Calcium,Torrent,Antidiabetic,Capsule,50 mg,1354.15,209,72,2027-07-10,Available
MED00148,Cefixime,Cefixime,Lupin,Antidiabetic,Drops,500 mg,738.48,92,76,2028-10-03,Available
MED00149,Amoxicillin,Levocetirizine,Abbott,Respiratory,Capsule,100 mg,1252.54,82,75,2026-08-03,Available
MED00150,Amoxicillin,Levocetirizine,Torrent,Antidiabetic,Tablet,500 mg,1441.25,760,99,2029-04-29,Available
MED00151,Metformin,Rabeprazole,Alkem,Painkiller,Capsule,10 ml,113.75,966,42,2026-07-18,Available
MED00152,Azithromycin,Ondansetron,Torrent,General Medicine,Injection,650 mg,682.04,826,70,2029-04-14,Available
MED00153,Ondansetron,Crocin,Alkem,Cardiology,Drops,50 mg,1463.42,117,53,2028-06-14,Available
MED00154,Calcium,Ondansetron,Mankind,General Medicine,Syrup,10 ml,777.13,444,25,2027-11-06,Available
MED00155,Cefixime,Paracetamol,Lupin,Respiratory,Injection,10 ml,1322.08,733,81,2028-04-10,Available
MED00156,Ranitidine,Losartan,Cipla,Antibiotic,Drops,500 mg,793.24,516,27,2027-07-04,Available
MED00157,Calcium,Paracetamol,Lupin,Antibiotic,Capsule,10 ml,1174.77,63,74,2029-03-19,Available
MED00158,Vitamin D3,Telmisartan,Abbott,Cardiology,Capsule,100 mg,935.41,138,45,2029-01-07,Available
MED00159,Vitamin D3,Levocetirizine,Cipla,General Medicine,Capsule,10 ml,150.69,938,72,2029-01-21,Available
MED00160,Calcium,Rabeprazole,GSK,Cardiology,Tablet,10 ml,1311.84,883,76,2028-04-05,Available
MED00161,Pantoprazole,Domperidone,Mankind,Respiratory,Capsule,5 ml,1307.48,770,47,2028-05-04,Available
MED00162,Paracetamol,Montelukast,Mankind,Antidiabetic,Injection,50 mg,457.76,677,85,2029-06-16,Available
MED00163,Montelukast,Aspirin,Mankind,Antacid,Injection,100 mg,1069.3,859,77,2028-04-02,Available
MED00164,Salbutamol,Diclofenac,Abbott,Antacid,Drops,100 mg,88.72,953,78,2028-03-07,Available
MED00165,Azithromycin,Domperidone,Dr. Reddy's,Antibiotic,Capsule,100 mg,669.03,707,78,2028-01-20,Available
MED00166,ORS,Omeprazole,Lupin,General Medicine,Tablet,5 ml,33.86,582,94,2026-08-23,Available
MED00167,Levocetirizine,Telmisartan,Pfizer,Antibiotic,Capsule,650 mg,1346.58,917,82,2027-03-14,Available
MED00168,Atorvastatin,Levocetirizine,Torrent,Painkiller,Capsule,650 mg,1040.34,50,36,2026-11-05,Available
MED00169,Diclofenac,Azithromycin,Sun Pharma,General Medicine,Injection,250 mg,1321.14,707,64,2028-05-30,Available
MED00170,Levocetirizine,Amlodipine,Abbott,Respiratory,Syrup,650 mg,285.13,639,40,2027-06-20,Available
MED00171,Cefixime,Calcium,Cipla,Antibiotic,Injection,100 mg,1218.47,990,32,2029-05-04,Available
MED00172,Ibuprofen,Calcium,GSK,Painkiller,Capsule,500 mg,993.88,58,88,2027-02-27,Available
MED00173,Diclofenac,Calcium,Dr. Reddy's,Antidiabetic,Drops,500 mg,1095.8,601,24,2028-07-12,Available
MED00174,Aspirin,Cetirizine,Torrent,General Medicine,Tablet,5 ml,333.79,837,100,2027-01-02,Available
MED00175,Montelukast,Ibuprofen,Pfizer,Respiratory,Syrup,650 mg,913.51,743,22,2027-06-09,Available
MED00176,Amlodipine,Insulin,GSK,Vitamin,Tablet,5 ml,1149.29,700,46,2028-07-29,Available
MED00177,Omeprazole,Aspirin,Cipla,General Medicine,Syrup,10 ml,1213.27,957,99,2028-06-16,Available
MED00178,Metformin,Ibuprofen,Torrent,Antibiotic,Capsule,500 mg,1120.97,432,80,2028-06-24,Available
MED00179,Calcium,Calcium,Alkem,Vitamin,Drops,250 mg,1287.91,436,77,2029-06-26,Available
MED00180,Cetirizine,Aspirin,Torrent,General Medicine,Capsule,250 mg,944.58,728,37,2028-02-03,Available
MED00181,Ibuprofen,Amoxicillin,Dr. Reddy's,Antacid,Injection,250 mg,884.46,914,41,2027-12-23,Available
MED00182,Ranitidine,Montelukast,Lupin,Respiratory,Syrup,500 mg,765.16,471,45,2029-03-02,Available
MED00183,Ranitidine,Insulin,Lupin,General Medicine,Capsule,500 mg,1133.58,666,89,2028-04-29,Available
MED00184,Domperidone,Cetirizine,Alkem,Respiratory,Injection,650 mg,1272.34,153,94,2029-05-10,Available
MED00185,Domperidone,Diclofenac,Cipla,Respiratory,Drops,5 ml,511.93,645,78,2027-11-14,Available
MED00186,Ibuprofen,Atorvastatin,Pfizer,Antidiabetic,Drops,500 mg,686.9,113,49,2028-12-19,Available
MED00187,Insulin,ORS,Mankind,Painkiller,Tablet,5 ml,843.72,198,62,2028-09-11,Available
MED00188,Omeprazole,Omeprazole,Lupin,General Medicine,Tablet,500 mg,439.01,359,41,2027-03-21,Available
MED00189,Montelukast,Pantoprazole,Mankind,Painkiller,Drops,100 mg,494.59,116,81,2027-02-04,Available
MED00190,Montelukast,Amlodipine,Dr. Reddy's,Cardiology,Injection,250 mg,1488.2,778,65,2027-01-06,Available
MED00191,Ondansetron,Levocetirizine,Torrent,Vitamin,Capsule,100 mg,473.26,524,98,2028-09-24,Available
MED00192,Amlodipine,Omeprazole,Pfizer,Antacid,Capsule,250 mg,315.99,410,70,2027-12-21,Available
MED00193,Dolo 650,Rabeprazole,Sun Pharma,Antibiotic,Drops,100 mg,539.32,934,58,2027-12-26,Available
MED00194,Dolo 650,Atorvastatin,GSK,Antibiotic,Capsule,250 mg,1020.74,607,22,2027-05-13,Available
MED00195,Salbutamol,Calcium,Lupin,General Medicine,Injection,250 mg,1478.31,803,79,2027-03-05,Available
MED00196,Paracetamol,Ranitidine,Pfizer,Antibiotic,Drops,650 mg,291.68,68,82,2026-12-10,Available
MED00197,Cetirizine,Domperidone,Mankind,General Medicine,Capsule,50 mg,1239.86,363,68,2026-10-16,Available
